Date,Order,Count
Fall 2015,Araneae,15
Spring 2016,Araneae,33
Summer 2016,Araneae,11
Fall 2016,Araneae,199
Fall 2015,Coleoptera,700
Spring 2016,Coleoptera,1265
Summer 2016,Coleoptera,1573
Fall 2016,Coleoptera,682
Fall 2015,Collembola,1
Spring 2016,Collembola,3
Summer 2016,Collembola,0
Fall 2016,Collembola,0
Fall 2015,Diplopoda,1
Spring 2016,Diplopoda,0
Summer 2016,Diplopoda,0
Fall 2016,Diplopoda,0
Fall 2015,Diptera,28001
Spring 2016,Diptera,2413
Summer 2016,Diptera,4574
Fall 2016,Diptera,58286
Fall 2015,Gastropoda,0
Spring 2016,Gastropoda,1
Summer 2016,Gastropoda,0
Fall 2016,Gastropoda,0
Fall 2015,Hemiptera,6
Spring 2016,Hemiptera,12
Summer 2016,Hemiptera,10
Fall 2016,Hemiptera,8
Fall 2015,Hymenoptera,192
Spring 2016,Hymenoptera,36
Summer 2016,Hymenoptera,94
Fall 2016,Hymenoptera,693
Fall 2015,Lepidoptera,129
Spring 2016,Lepidoptera,21
Summer 2016,Lepidoptera,493
Fall 2016,Lepidoptera,159
Fall 2015,Mite,2
Spring 2016,Mite,0
Summer 2016,Mite,2
Fall 2016,Mite,1
Fall 2015,Neuroptera,0
Spring 2016,Neuroptera,0
Summer 2016,Neuroptera,0
Fall 2016,Neuroptera,1
Fall 2015,Opiliones,0
Spring 2016,Opiliones,4
Summer 2016,Opiliones,1
Fall 2016,Opiliones,2
Fall 2015,Orthoptera,0
Spring 2016,Orthoptera,0
Summer 2016,Orthoptera,1
Fall 2016,Orthoptera,1
Fall 2015,Psocoptera,0
Spring 2016,Psocoptera,0
Summer 2016,Psocoptera,1
Fall 2016,Psocoptera,0
Fall 2015,Trichoptera,1
Spring 2016,Trichoptera,0
Summer 2016,Trichoptera,0
Fall 2016,Trichoptera,1
