Date,Genus,Count
Fall 2015,Anopheles,0
Fall 2015,Blepharicera,3
Fall 2015,Chaetopsis,0
Fall 2015,Cladura,0
Fall 2015,Cynomya,33
Fall 2015,Dialysis,0
Fall 2015,Distichona,64
Fall 2015,Dolichopeza,66
Fall 2015,Drosophila,22712
Fall 2015,Dryomyza,250
Fall 2015,Epidapus,12
Fall 2015,Epochra,9
Fall 2015,Eurosta,1
Fall 2015,Forcipomyia,0
Fall 2015,Gonia,0
Fall 2015,Gymnosoma,8
Fall 2015,Haplusia,0
Fall 2015,Limonia,7
Fall 2015,Lucilia,110
Fall 2015,Microdrosophila,746
Fall 2015,Morellia,31
Fall 2015,Mycodrosophila,3536
Fall 2015,Nemotelus,2
Fall 2015,Neocladura,0
Fall 2015,Pegomya,7
Fall 2015,Phalacrocera,3
Fall 2015,Platypalpus,0
Fall 2015,Polietes,43
Fall 2015,Pollenia,1
Fall 2015,Sciara,78
Fall 2015,Siphona,0
Fall 2015,Solva,1
Fall 2015,Spallanzania,258
Fall 2015,Sylvicola,18
Fall 2015,Xylophagus,1
Spring 2016,Anopheles,44
Spring 2016,Blepharicera,0
Spring 2016,Chaetopsis,2
Spring 2016,Cladura,27
Spring 2016,Cynomya,16
Spring 2016,Dialysis,1
Spring 2016,Distichona,46
Spring 2016,Dolichopeza,26
Spring 2016,Drosophila,162
Spring 2016,Dryomyza,5
Spring 2016,Epidapus,17
Spring 2016,Epochra,2
Spring 2016,Eurosta,1
Spring 2016,Forcipomyia,3
Spring 2016,Gonia,0
Spring 2016,Gymnosoma,15
Spring 2016,Haplusia,3
Spring 2016,Limonia,44
Spring 2016,Lucilia,18
Spring 2016,Microdrosophila,58
Spring 2016,Morellia,6
Spring 2016,Mycodrosophila,1601
Spring 2016,Nemotelus,4
Spring 2016,Neocladura,21
Spring 2016,Pegomya,1
Spring 2016,Phalacrocera,15
Spring 2016,Platypalpus,1
Spring 2016,Polietes,29
Spring 2016,Pollenia,11
Spring 2016,Sciara,121
Spring 2016,Siphona,7
Spring 2016,Solva,0
Spring 2016,Spallanzania,91
Spring 2016,Sylvicola,10
Spring 2016,Xylophagus,1
Summer 2016,Anopheles,2
Summer 2016,Blepharicera,0
Summer 2016,Chaetopsis,0
Summer 2016,Cladura,2
Summer 2016,Cynomya,2
Summer 2016,Dialysis,0
Summer 2016,Distichona,17
Summer 2016,Dolichopeza,3
Summer 2016,Drosophila,109
Summer 2016,Dryomyza,27
Summer 2016,Epidapus,2
Summer 2016,Epochra,8
Summer 2016,Eurosta,6
Summer 2016,Forcipomyia,0
Summer 2016,Gonia,0
Summer 2016,Gymnosoma,9
Summer 2016,Haplusia,0
Summer 2016,Limonia,10
Summer 2016,Lucilia,8
Summer 2016,Microdrosophila,238
Summer 2016,Morellia,4
Summer 2016,Mycodrosophila,4072
Summer 2016,Nemotelus,0
Summer 2016,Neocladura,2
Summer 2016,Pegomya,0
Summer 2016,Phalacrocera,4
Summer 2016,Platypalpus,0
Summer 2016,Polietes,13
Summer 2016,Pollenia,11
Summer 2016,Sciara,13
Summer 2016,Siphona,0
Summer 2016,Solva,0
Summer 2016,Spallanzania,9
Summer 2016,Sylvicola,0
Summer 2016,Xylophagus,0
Fall 2016,Anopheles,90
Fall 2016,Blepharicera,1
Fall 2016,Chaetopsis,0
Fall 2016,Cladura,0
Fall 2016,Cynomya,146
Fall 2016,Dialysis,0
Fall 2016,Distichona,489
Fall 2016,Dolichopeza,392
Fall 2016,Drosophila,20205
Fall 2016,Dryomyza,241
Fall 2016,Epidapus,13
Fall 2016,Epochra,111
Fall 2016,Eurosta,1
Fall 2016,Forcipomyia,0
Fall 2016,Gonia,64
Fall 2016,Gymnosoma,97
Fall 2016,Haplusia,0
Fall 2016,Limonia,220
Fall 2016,Lucilia,217
Fall 2016,Microdrosophila,1259
Fall 2016,Morellia,73
Fall 2016,Mycodrosophila,33277
Fall 2016,Nemotelus,68
Fall 2016,Neocladura,10
Fall 2016,Pegomya,0
Fall 2016,Phalacrocera,13
Fall 2016,Platypalpus,0
Fall 2016,Polietes,66
Fall 2016,Pollenia,8
Fall 2016,Sciara,90
Fall 2016,Siphona,0
Fall 2016,Solva,0
Fall 2016,Spallanzania,1121
Fall 2016,Sylvicola,10
Fall 2016,Xylophagus,0
